 # q =   1.0000E+01
 #         x       xsbar      error+      error-       error
  2.7609E-02  1.5981E-01  6.6108E-03  8.3770E-03  7.2558E-03
  3.2487E-02  1.4412E-01  5.8284E-03  7.9121E-03  6.7082E-03
  3.8227E-02  1.2910E-01  5.2293E-03  7.3352E-03  6.1931E-03
  4.4982E-02  1.1467E-01  4.8023E-03  6.6624E-03  5.6926E-03
  5.2930E-02  1.0086E-01  4.5522E-03  5.9239E-03  5.2123E-03
  6.2282E-02  8.7670E-02  4.3801E-03  5.2444E-03  4.7670E-03
  7.3287E-02  7.5091E-02  4.1508E-03  4.7601E-03  4.3530E-03
  8.6236E-02  6.3238E-02  3.8627E-03  4.4874E-03  3.9936E-03
  1.0147E-01  5.2175E-02  3.5002E-03  4.3182E-03  3.6708E-03
  1.1940E-01  4.2026E-02  3.0508E-03  4.0243E-03  3.3493E-03
  1.4050E-01  3.2946E-02  2.8062E-03  3.5593E-03  2.9934E-03
  1.6533E-01  2.5041E-02  2.5373E-03  2.9503E-03  2.5823E-03
  1.9454E-01  1.8396E-02  2.1035E-03  2.3047E-03  2.1344E-03
  2.2891E-01  1.3021E-02  1.5937E-03  1.8240E-03  1.6990E-03
  2.6936E-01  8.8495E-03  1.1118E-03  1.5516E-03  1.3235E-03
  3.1695E-01  5.7287E-03  7.5043E-04  1.3556E-03  1.0194E-03
  3.7296E-01  3.4752E-03  5.2331E-04  1.0994E-03  7.5772E-04
  4.3885E-01  1.9116E-03  3.7304E-04  7.6433E-04  5.1443E-04
  5.1640E-01  8.9899E-04  2.4314E-04  4.2665E-04  2.9873E-04
  6.0764E-01  3.2511E-04  1.2637E-04  1.7469E-04  1.3598E-04
  7.1501E-01  7.2519E-05  4.2730E-05  4.3508E-05  4.0452E-05
  8.4134E-01  5.1351E-06  5.1722E-06  3.7009E-06  4.3445E-06
  9.9000E-01  5.4475E-08  7.0101E-08  1.9811E-08  4.2327E-08
