 # x =   1.0000E-02
 #        q2       xdbar      error+      error-       error
  5.1390E+07  6.1634E-01  4.2748E-03  6.1420E-03  5.0670E-03
  6.5303E+07  6.1802E-01  4.2647E-03  6.1536E-03  5.0677E-03
  8.2982E+07  6.1965E-01  4.2657E-03  6.1540E-03  5.0694E-03
  1.0545E+08  6.2124E-01  4.2672E-03  6.1521E-03  5.0697E-03
  1.3399E+08  6.2278E-01  4.2681E-03  6.1472E-03  5.0674E-03
  1.7027E+08  6.2429E-01  4.2688E-03  6.1431E-03  5.0655E-03
  2.1637E+08  6.2576E-01  4.2680E-03  6.1452E-03  5.0665E-03
  2.7494E+08  6.2720E-01  4.2659E-03  6.1515E-03  5.0694E-03
  3.4937E+08  6.2860E-01  4.2601E-03  6.1595E-03  5.0714E-03
  4.4396E+08  6.2996E-01  4.2478E-03  6.1711E-03  5.0722E-03
  5.6414E+08  6.3129E-01  4.2417E-03  6.1772E-03  5.0728E-03
  7.1687E+08  6.3259E-01  4.2480E-03  6.1731E-03  5.0737E-03
  9.1094E+08  6.3385E-01  4.2635E-03  6.1613E-03  5.0746E-03
  1.1576E+09  6.3511E-01  4.2800E-03  6.1491E-03  5.0758E-03
  1.4709E+09  6.3639E-01  4.2934E-03  6.1402E-03  5.0772E-03
  1.8692E+09  6.3767E-01  4.3071E-03  6.1314E-03  5.0788E-03
  2.3752E+09  6.3895E-01  4.3212E-03  6.1228E-03  5.0806E-03
  3.0182E+09  6.4024E-01  4.3356E-03  6.1143E-03  5.0826E-03
  3.8353E+09  6.4152E-01  4.3503E-03  6.1060E-03  5.0849E-03
  4.8736E+09  6.4281E-01  4.3655E-03  6.0979E-03  5.0873E-03
  6.1930E+09  6.4411E-01  4.3809E-03  6.0900E-03  5.0900E-03
  7.8695E+09  6.4540E-01  4.3968E-03  6.0822E-03  5.0929E-03
  1.0000E+10  6.4670E-01  4.4129E-03  6.0746E-03  5.0960E-03
