 # q =   1.0000E+01
 #         x        xstr      error+      error-       error
  2.7609E-02  1.6531E-01  9.1356E-03  6.5515E-03  7.6413E-03
  3.2487E-02  1.5045E-01  8.2329E-03  6.1011E-03  7.0172E-03
  3.8227E-02  1.3622E-01  7.3454E-03  5.7256E-03  6.4357E-03
  4.4982E-02  1.2250E-01  6.5072E-03  5.4218E-03  5.8984E-03
  5.2930E-02  1.0929E-01  5.7864E-03  5.2194E-03  5.4366E-03
  6.2282E-02  9.6494E-02  5.2488E-03  5.1632E-03  5.0781E-03
  7.3287E-02  8.4099E-02  4.9937E-03  5.1340E-03  4.8264E-03
  8.6236E-02  7.2147E-02  4.7832E-03  5.0538E-03  4.6614E-03
  1.0147E-01  6.0683E-02  4.4964E-03  5.3344E-03  4.5185E-03
  1.1940E-01  4.9815E-02  4.1001E-03  5.3866E-03  4.3099E-03
  1.4050E-01  3.9734E-02  3.5970E-03  5.0800E-03  3.9736E-03
  1.6533E-01  3.0614E-02  3.0264E-03  4.4120E-03  3.4881E-03
  1.9454E-01  2.2648E-02  2.5008E-03  3.4851E-03  2.8878E-03
  2.2891E-01  1.5984E-02  2.0782E-03  2.4817E-03  2.2520E-03
  2.6936E-01  1.0685E-02  1.7555E-03  1.5861E-03  1.6651E-03
  3.1695E-01  6.7072E-03  1.4694E-03  9.3652E-04  1.1865E-03
  3.7296E-01  3.9011E-03  1.1464E-03  5.6157E-04  8.1762E-04
  4.3885E-01  2.0512E-03  7.8336E-04  3.6199E-04  5.2879E-04
  5.1640E-01  9.2927E-04  4.3989E-04  2.2166E-04  3.0075E-04
  6.0764E-01  3.2848E-04  1.8654E-04  1.0830E-04  1.3619E-04
  7.1501E-01  7.2631E-05  5.0991E-05  3.3488E-05  4.0490E-05
  8.4134E-01  5.1353E-06  5.3437E-06  3.4513E-06  4.3465E-06
  9.9000E-01  5.4475E-08  7.0101E-08  1.9811E-08  4.2350E-08
