 # q =   1.0000E+01
 #         x        xchm      error+      error-       error
  2.7609E-02  9.8165E-02  1.7049E-03  2.1802E-03  1.9148E-03
  3.2487E-02  8.7285E-02  1.6084E-03  2.0447E-03  1.8023E-03
  3.8227E-02  7.7164E-02  1.5166E-03  1.9131E-03  1.6939E-03
  4.4982E-02  6.7743E-02  1.4216E-03  1.7839E-03  1.5848E-03
  5.2930E-02  5.9025E-02  1.3263E-03  1.6455E-03  1.4703E-03
  6.2282E-02  5.0963E-02  1.2298E-03  1.5021E-03  1.3521E-03
  7.3287E-02  4.3553E-02  1.1269E-03  1.3519E-03  1.2269E-03
  8.6236E-02  3.6770E-02  1.0247E-03  1.1989E-03  1.1005E-03
  1.0147E-01  3.0604E-02  9.2407E-04  1.0466E-03  9.7519E-04
  1.1940E-01  2.5044E-02  8.2562E-04  9.0379E-04  8.5592E-04
  1.4050E-01  2.0079E-02  7.3763E-04  7.7739E-04  7.5029E-04
  1.6533E-01  1.5705E-02  6.6180E-04  6.7214E-04  6.6149E-04
  1.9454E-01  1.1914E-02  5.9092E-04  5.9583E-04  5.8958E-04
  2.2891E-01  8.6983E-03  5.2784E-04  5.3511E-04  5.2905E-04
  2.6936E-01  6.0497E-03  4.6875E-04  4.7444E-04  4.7007E-04
  3.1695E-01  3.9495E-03  4.0505E-04  4.0387E-04  4.0348E-04
  3.7296E-01  2.3690E-03  3.2952E-04  3.2069E-04  3.2444E-04
  4.3885E-01  1.2630E-03  2.4278E-04  2.2864E-04  2.3526E-04
  5.1640E-01  5.6659E-04  1.5338E-04  1.3839E-04  1.4559E-04
  6.0764E-01  1.9308E-04  7.5729E-05  6.4356E-05  6.9878E-05
  7.1501E-01  3.9902E-05  2.3842E-05  1.8509E-05  2.1113E-05
  8.4134E-01  2.5051E-06  2.5589E-06  1.6904E-06  2.1155E-06
  9.9000E-01  5.3216E-08  6.8969E-08  1.8780E-08  4.1331E-08
