 # q =   1.0000E+01
 #         x        xbot      error+      error-       error
  2.7609E-02  3.4333E-02  4.7797E-04  6.3501E-04  5.4856E-04
  3.2487E-02  2.9966E-02  4.4568E-04  5.8578E-04  5.0907E-04
  3.8227E-02  2.5989E-02  4.1516E-04  5.3653E-04  4.7015E-04
  4.4982E-02  2.2360E-02  3.8570E-04  4.8793E-04  4.3183E-04
  5.2930E-02  1.9081E-02  3.5570E-04  4.3920E-04  3.9301E-04
  6.2282E-02  1.6115E-02  3.2591E-04  3.9192E-04  3.5495E-04
  7.3287E-02  1.3460E-02  2.9541E-04  3.4591E-04  3.1714E-04
  8.6236E-02  1.1091E-02  2.6658E-04  3.0162E-04  2.8103E-04
  1.0147E-01  8.9970E-03  2.3952E-04  2.6011E-04  2.4724E-04
  1.1940E-01  7.1647E-03  2.1436E-04  2.2391E-04  2.1708E-04
  1.4050E-01  5.5788E-03  1.9190E-04  1.9325E-04  1.9111E-04
  1.6533E-01  4.2280E-03  1.6989E-04  1.7031E-04  1.6905E-04
  1.9454E-01  3.0991E-03  1.4969E-04  1.5122E-04  1.4976E-04
  2.2891E-01  2.1785E-03  1.3143E-04  1.3260E-04  1.3157E-04
  2.6936E-01  1.4524E-03  1.1289E-04  1.1290E-04  1.1261E-04
  3.1695E-01  9.0347E-04  9.2952E-05  9.1062E-05  9.1815E-05
  3.7296E-01  5.1234E-04  7.1056E-05  6.7961E-05  6.9377E-05
  4.3885E-01  2.5543E-04  4.8712E-05  4.5062E-05  4.6798E-05
  5.1640E-01  1.0549E-04  2.8256E-05  2.5044E-05  2.6595E-05
  6.0764E-01  3.2292E-05  1.2553E-05  1.0470E-05  1.1484E-05
  7.1501E-01  5.7423E-06  3.4207E-06  2.6069E-06  3.0047E-06
  8.4134E-01  2.8230E-07  2.8819E-07  1.8649E-07  2.3628E-07
  9.9000E-01  2.0936E-08  6.2705E-08  1.2029E-08  3.4859E-08
