 # x =   1.0000E-02
 #        q2       xsbar      error+      error-       error
  5.1390E+07  5.0557E-01  9.5438E-03  9.1636E-03  9.0192E-03
  6.5303E+07  5.0737E-01  9.4973E-03  9.1493E-03  8.9877E-03
  8.2982E+07  5.0913E-01  9.4443E-03  9.1433E-03  8.9559E-03
  1.0545E+08  5.1084E-01  9.3964E-03  9.1303E-03  8.9241E-03
  1.3399E+08  5.1251E-01  9.3565E-03  9.1051E-03  8.8915E-03
  1.7027E+08  5.1414E-01  9.3197E-03  9.0776E-03  8.8596E-03
  2.1637E+08  5.1573E-01  9.2833E-03  9.0560E-03  8.8303E-03
  2.7494E+08  5.1729E-01  9.2481E-03  9.0368E-03  8.8026E-03
  3.4937E+08  5.1881E-01  9.2137E-03  9.0149E-03  8.7746E-03
  4.4396E+08  5.2028E-01  9.1812E-03  8.9883E-03  8.7463E-03
  5.6414E+08  5.2173E-01  9.1449E-03  8.9669E-03  8.7180E-03
  7.1687E+08  5.2314E-01  9.1018E-03  8.9554E-03  8.6896E-03
  9.1094E+08  5.2453E-01  9.0536E-03  8.9513E-03  8.6611E-03
  1.1576E+09  5.2592E-01  9.0048E-03  8.9479E-03  8.6326E-03
  1.4709E+09  5.2732E-01  8.9578E-03  8.9417E-03  8.6041E-03
  1.8692E+09  5.2873E-01  8.9106E-03  8.9357E-03  8.5755E-03
  2.3752E+09  5.3014E-01  8.8633E-03  8.9298E-03  8.5470E-03
  3.0182E+09  5.3156E-01  8.8158E-03  8.9241E-03  8.5185E-03
  3.8353E+09  5.3297E-01  8.7682E-03  8.9185E-03  8.4899E-03
  4.8736E+09  5.3440E-01  8.7204E-03  8.9130E-03  8.4614E-03
  6.1930E+09  5.3582E-01  8.6725E-03  8.9078E-03  8.4329E-03
  7.8695E+09  5.3726E-01  8.6244E-03  8.9027E-03  8.4044E-03
  1.0000E+10  5.3869E-01  8.5761E-03  8.8978E-03  8.3760E-03
