 # q =   1.0000E+01
 #         x        xglu      error+      error-       error
  2.7609E-02  3.4158E+00  3.9043E-02  5.3510E-02  4.5444E-02
  3.2487E-02  3.0238E+00  3.6836E-02  4.9797E-02  4.2617E-02
  3.8227E-02  2.6645E+00  3.4914E-02  4.6381E-02  4.0065E-02
  4.4982E-02  2.3339E+00  3.2948E-02  4.3311E-02  3.7647E-02
  5.2930E-02  2.0323E+00  3.0979E-02  4.0343E-02  3.5254E-02
  6.2282E-02  1.7559E+00  2.9114E-02  3.7185E-02  3.2796E-02
  7.3287E-02  1.5045E+00  2.7372E-02  3.3695E-02  3.0215E-02
  8.6236E-02  1.2761E+00  2.5283E-02  3.0316E-02  2.7514E-02
  1.0147E-01  1.0696E+00  2.2891E-02  2.7047E-02  2.4716E-02
  1.1940E-01  8.8366E-01  2.0775E-02  2.3546E-02  2.1935E-02
  1.4050E-01  7.1743E-01  1.8681E-02  2.0327E-02  1.9310E-02
  1.6533E-01  5.7017E-01  1.6777E-02  1.7518E-02  1.6990E-02
  1.9454E-01  4.4123E-01  1.5178E-02  1.5218E-02  1.5087E-02
  2.2891E-01  3.3013E-01  1.3645E-02  1.3725E-02  1.3607E-02
  2.6936E-01  2.3655E-01  1.2346E-02  1.2500E-02  1.2374E-02
  3.1695E-01  1.6014E-01  1.1094E-02  1.1188E-02  1.1110E-02
  3.7296E-01  1.0041E-01  9.6142E-03  9.4951E-03  9.5342E-03
  4.3885E-01  5.6581E-02  7.6987E-03  7.3820E-03  7.5262E-03
  5.1640E-01  2.7259E-02  5.4122E-03  4.9843E-03  5.1884E-03
  6.0764E-01  1.0242E-02  3.0734E-03  2.6749E-03  2.8680E-03
  7.1501E-01  2.4539E-03  1.1820E-03  9.4203E-04  1.0592E-03
  8.4134E-01  2.0172E-04  1.7820E-04  1.2114E-04  1.4907E-04
  9.9000E-01  9.1056E-07  5.5691E-08  2.9828E-07  1.3270E-07
