 # q =   1.0000E+01
 #         x         xup      error+      error-       error
  2.7609E-02  5.5055E-01  4.5012E-03  4.9782E-03  4.5523E-03
  3.2487E-02  5.4985E-01  5.0369E-03  5.3287E-03  4.9470E-03
  3.8227E-02  5.5066E-01  5.6780E-03  5.7477E-03  5.4310E-03
  4.4982E-02  5.5270E-01  6.3165E-03  6.1844E-03  5.9351E-03
  5.2930E-02  5.5595E-01  6.9379E-03  6.6206E-03  6.4432E-03
  6.2282E-02  5.5975E-01  7.4737E-03  6.9725E-03  6.8887E-03
  7.3287E-02  5.6415E-01  7.9330E-03  7.2352E-03  7.2744E-03
  8.6236E-02  5.6823E-01  8.2623E-03  7.4396E-03  7.5836E-03
  1.0147E-01  5.7146E-01  8.4723E-03  7.6164E-03  7.8289E-03
  1.1940E-01  5.7284E-01  8.5894E-03  7.7747E-03  8.0179E-03
  1.4050E-01  5.7061E-01  8.6072E-03  7.8961E-03  8.1277E-03
  1.6533E-01  5.6290E-01  8.5268E-03  7.9204E-03  8.1248E-03
  1.9454E-01  5.4708E-01  8.3349E-03  7.7512E-03  7.9537E-03
  2.2891E-01  5.2001E-01  8.0025E-03  7.3526E-03  7.5824E-03
  2.6936E-01  4.7872E-01  7.5221E-03  6.6969E-03  6.9964E-03
  3.1695E-01  4.2105E-01  6.8479E-03  5.7789E-03  6.1715E-03
  3.7296E-01  3.4720E-01  5.8619E-03  4.6865E-03  5.1048E-03
  4.3885E-01  2.6110E-01  4.5001E-03  3.4994E-03  3.8339E-03
  5.1640E-01  1.7107E-01  2.9694E-03  2.3403E-03  2.5530E-03
  6.0764E-01  8.9719E-02  1.7434E-03  1.4161E-03  1.5561E-03
  7.1501E-01  3.1170E-02  9.3380E-04  8.3021E-04  8.6778E-04
  8.4134E-01  4.0021E-03  2.3863E-04  2.4661E-04  2.3264E-04
  9.9000E-01 -3.8489E-06  4.8553E-07  4.0275E-07  4.2113E-07
