 # x =   1.0000E-02
 #        q2        xstr      error+      error-       error
  5.1390E+07  5.0873E-01  1.0986E-02  8.5434E-03  9.4413E-03
  6.5303E+07  5.1055E-01  1.0941E-02  8.5274E-03  9.4099E-03
  8.2982E+07  5.1233E-01  1.0890E-02  8.5200E-03  9.3790E-03
  1.0545E+08  5.1407E-01  1.0844E-02  8.5052E-03  9.3471E-03
  1.3399E+08  5.1576E-01  1.0805E-02  8.4775E-03  9.3131E-03
  1.7027E+08  5.1740E-01  1.0768E-02  8.4474E-03  9.2795E-03
  2.1637E+08  5.1902E-01  1.0731E-02  8.4228E-03  9.2485E-03
  2.7494E+08  5.2059E-01  1.0693E-02  8.4007E-03  9.2192E-03
  3.4937E+08  5.2213E-01  1.0659E-02  8.3776E-03  9.1910E-03
  4.4396E+08  5.2362E-01  1.0629E-02  8.3521E-03  9.1642E-03
  5.6414E+08  5.2508E-01  1.0595E-02  8.3311E-03  9.1370E-03
  7.1687E+08  5.2652E-01  1.0552E-02  8.3179E-03  9.1081E-03
  9.1094E+08  5.2792E-01  1.0502E-02  8.3108E-03  9.0782E-03
  1.1576E+09  5.2933E-01  1.0451E-02  8.3043E-03  9.0481E-03
  1.4709E+09  5.3075E-01  1.0402E-02  8.2956E-03  9.0184E-03
  1.8692E+09  5.3217E-01  1.0354E-02  8.2870E-03  8.9887E-03
  2.3752E+09  5.3360E-01  1.0305E-02  8.2786E-03  8.9590E-03
  3.0182E+09  5.3504E-01  1.0256E-02  8.2703E-03  8.9292E-03
  3.8353E+09  5.3647E-01  1.0206E-02  8.2622E-03  8.8994E-03
  4.8736E+09  5.3792E-01  1.0157E-02  8.2543E-03  8.8696E-03
  6.1930E+09  5.3936E-01  1.0108E-02  8.2465E-03  8.8398E-03
  7.8695E+09  5.4081E-01  1.0058E-02  8.2389E-03  8.8099E-03
  1.0000E+10  5.4226E-01  1.0008E-02  8.2314E-03  8.7801E-03
