 # q =   1.0000E+01
 #         x       xdbar      error+      error-       error
  2.7609E-02  2.7329E-01  4.8777E-03  5.2677E-03  5.0086E-03
  3.2487E-02  2.5735E-01  4.8773E-03  5.2151E-03  4.9880E-03
  3.8227E-02  2.4212E-01  4.8654E-03  5.1695E-03  4.9636E-03
  4.4982E-02  2.2712E-01  4.8740E-03  5.0920E-03  4.9304E-03
  5.2930E-02  2.1236E-01  4.9348E-03  5.0056E-03  4.9164E-03
  6.2282E-02  1.9711E-01  5.0534E-03  4.9094E-03  4.9235E-03
  7.3287E-02  1.8137E-01  5.2377E-03  4.8592E-03  4.9855E-03
  8.6236E-02  1.6452E-01  5.4713E-03  4.8350E-03  5.0862E-03
  1.0147E-01  1.4636E-01  5.7073E-03  4.8112E-03  5.1949E-03
  1.1940E-01  1.2667E-01  5.7838E-03  4.7673E-03  5.2193E-03
  1.4050E-01  1.0559E-01  5.6126E-03  4.5628E-03  5.0394E-03
  1.6533E-01  8.3677E-02  5.1303E-03  4.1126E-03  4.5771E-03
  1.9454E-01  6.1968E-02  4.3707E-03  3.3841E-03  3.8235E-03
  2.2891E-01  4.1978E-02  3.5278E-03  2.4362E-03  2.8940E-03
  2.6936E-01  2.5283E-02  2.8184E-03  1.5325E-03  2.0533E-03
  3.1695E-01  1.3164E-02  2.2318E-03  1.0420E-03  1.4991E-03
  3.7296E-01  5.8143E-03  1.5826E-03  8.4298E-04  1.0886E-03
  4.3885E-01  2.2473E-03  8.8141E-04  5.7577E-04  6.5895E-04
  5.1640E-01  8.4936E-04  3.5704E-04  2.8587E-04  2.9983E-04
  6.0764E-01  3.0580E-04  1.2942E-04  1.1362E-04  1.1932E-04
  7.1501E-01  7.1833E-05  4.2403E-05  3.3514E-05  3.7812E-05
  8.4134E-01  5.1392E-06  5.1705E-06  3.4520E-06  4.2929E-06
  9.9000E-01  5.4476E-08  7.0094E-08  1.9813E-08  4.2336E-08
