 # x =   1.0000E-02
 #        q2         xup      error+      error-       error
  5.1390E+07  8.6293E-01  3.5906E-03  5.6070E-03  4.4449E-03
  6.5303E+07  8.6509E-01  3.5932E-03  5.6037E-03  4.4451E-03
  8.2982E+07  8.6720E-01  3.6068E-03  5.5875E-03  4.4445E-03
  1.0545E+08  8.6926E-01  3.6111E-03  5.5822E-03  4.4444E-03
  1.3399E+08  8.7128E-01  3.5974E-03  5.5971E-03  4.4449E-03
  1.7027E+08  8.7325E-01  3.5828E-03  5.6134E-03  4.4456E-03
  2.1637E+08  8.7518E-01  3.5841E-03  5.6134E-03  4.4460E-03
  2.7494E+08  8.7706E-01  3.5935E-03  5.6052E-03  4.4462E-03
  3.4937E+08  8.7890E-01  3.5952E-03  5.6073E-03  4.4477E-03
  4.4396E+08  8.8070E-01  3.5869E-03  5.6227E-03  4.4509E-03
  5.6414E+08  8.8245E-01  3.5796E-03  5.6350E-03  4.4532E-03
  7.1687E+08  8.8417E-01  3.5778E-03  5.6370E-03  4.4534E-03
  9.1094E+08  8.8586E-01  3.5791E-03  5.6326E-03  4.4521E-03
  1.1576E+09  8.8754E-01  3.5810E-03  5.6278E-03  4.4509E-03
  1.4709E+09  8.8924E-01  3.5820E-03  5.6259E-03  4.4506E-03
  1.8692E+09  8.9094E-01  3.5834E-03  5.6241E-03  4.4505E-03
  2.3752E+09  8.9265E-01  3.5851E-03  5.6225E-03  4.4507E-03
  3.0182E+09  8.9436E-01  3.5872E-03  5.6211E-03  4.4511E-03
  3.8353E+09  8.9608E-01  3.5896E-03  5.6199E-03  4.4517E-03
  4.8736E+09  8.9780E-01  3.5923E-03  5.6189E-03  4.4526E-03
  6.1930E+09  8.9952E-01  3.5954E-03  5.6181E-03  4.4537E-03
  7.8695E+09  9.0124E-01  3.5988E-03  5.6174E-03  4.4550E-03
  1.0000E+10  9.0297E-01  3.6026E-03  5.6170E-03  4.4567E-03
