 # q =   1.0000E+01
 #         x         xdn      error+      error-       error
  2.7609E-02  4.5017E-01  5.4751E-03  7.7996E-03  6.4175E-03
  3.2487E-02  4.3866E-01  5.3440E-03  7.6009E-03  6.2561E-03
  3.8227E-02  4.2748E-01  5.3092E-03  7.3804E-03  6.1266E-03
  4.4982E-02  4.1642E-01  5.4384E-03  7.1629E-03  6.0751E-03
  5.2930E-02  4.0547E-01  5.7364E-03  6.9737E-03  6.1409E-03
  6.2282E-02  3.9423E-01  6.0282E-03  6.9970E-03  6.2891E-03
  7.3287E-02  3.8273E-01  6.2797E-03  7.0728E-03  6.4591E-03
  8.6236E-02  3.7034E-01  6.4498E-03  7.0450E-03  6.5360E-03
  1.0147E-01  3.5671E-01  6.4946E-03  6.8101E-03  6.4455E-03
  1.1940E-01  3.4115E-01  6.3883E-03  6.3603E-03  6.1678E-03
  1.4050E-01  3.2269E-01  6.1734E-03  5.8204E-03  5.8066E-03
  1.6533E-01  3.0051E-01  5.8587E-03  5.6391E-03  5.5362E-03
  1.9454E-01  2.7373E-01  5.6639E-03  5.8105E-03  5.5049E-03
  2.2891E-01  2.4177E-01  5.7993E-03  5.9191E-03  5.6303E-03
  2.6936E-01  2.0460E-01  5.8706E-03  5.8291E-03  5.6338E-03
  3.1695E-01  1.6299E-01  5.5255E-03  5.5163E-03  5.3138E-03
  3.7296E-01  1.1895E-01  5.0422E-03  4.9163E-03  4.7512E-03
  4.3885E-01  7.6101E-02  4.7927E-03  3.9546E-03  4.1260E-03
  5.1640E-01  3.9592E-02  4.1563E-03  2.7705E-03  3.2780E-03
  6.0764E-01  1.4600E-02  2.6260E-03  1.5073E-03  1.9746E-03
  7.1501E-01  2.8382E-03  8.9484E-04  4.6865E-04  6.5429E-04
  8.4134E-01  1.1907E-04  7.2552E-05  3.3893E-05  5.1074E-05
  9.9000E-01  3.7620E-08  6.4996E-08  3.3250E-08  4.2458E-08
