 # x =   1.0000E-02
 #        q2        xglu      error+      error-       error
  5.1390E+07  8.1457E+00  4.8811E-02  7.6576E-02  6.1408E-02
  6.5303E+07  8.1380E+00  4.8808E-02  7.6345E-02  6.1289E-02
  8.2982E+07  8.1301E+00  4.8736E-02  7.6162E-02  6.1162E-02
  1.0545E+08  8.1218E+00  4.8648E-02  7.5995E-02  6.1036E-02
  1.3399E+08  8.1133E+00  4.8538E-02  7.5849E-02  6.0911E-02
  1.7027E+08  8.1045E+00  4.8438E-02  7.5698E-02  6.0788E-02
  2.1637E+08  8.0955E+00  4.8381E-02  7.5510E-02  6.0667E-02
  2.7494E+08  8.0863E+00  4.8357E-02  7.5296E-02  6.0547E-02
  3.4937E+08  8.0768E+00  4.8389E-02  7.5043E-02  6.0434E-02
  4.4396E+08  8.0670E+00  4.8502E-02  7.4736E-02  6.0329E-02
  5.6414E+08  8.0571E+00  4.8586E-02  7.4451E-02  6.0222E-02
  7.1687E+08  8.0471E+00  4.8586E-02  7.4226E-02  6.0108E-02
  9.1094E+08  8.0369E+00  4.8532E-02  7.4040E-02  5.9990E-02
  1.1576E+09  8.0267E+00  4.8481E-02  7.3863E-02  5.9878E-02
  1.4709E+09  8.0166E+00  4.8461E-02  7.3676E-02  5.9775E-02
  1.8692E+09  8.0066E+00  4.8449E-02  7.3495E-02  5.9679E-02
  2.3752E+09  7.9965E+00  4.8444E-02  7.3319E-02  5.9588E-02
  3.0182E+09  7.9864E+00  4.8447E-02  7.3148E-02  5.9504E-02
  3.8353E+09  7.9764E+00  4.8456E-02  7.2983E-02  5.9425E-02
  4.8736E+09  7.9664E+00  4.8473E-02  7.2822E-02  5.9352E-02
  6.1930E+09  7.9563E+00  4.8497E-02  7.2667E-02  5.9285E-02
  7.8695E+09  7.9463E+00  4.8528E-02  7.2517E-02  5.9225E-02
  1.0000E+10  7.9363E+00  4.8565E-02  7.2372E-02  5.9170E-02
